unique_id,start_tick,end_tick,thrower_steamid,thrower_name
5087495566357868816,11827,13115,76561198398225818,Skoger
3239162853708572702,13807,15095,76561197980850558,KKKONG--
3025265329543601144,15804,17092,76561198004292307,MrDorsi
1740918537764757044,15982,17270,76561197981134839,Keisar1
4398952691683527293,21010,22298,76561198398225818,Skoger
1377708178724426059,21694,22975,76561198004277049,ODSMO
7959847427967767346,22426,23707,76561197985108819,GAMPLAAJA
8729618358315465286,23657,24938,76561198013827407,Pipsa_Possu
3355766202840810530,23813,25101,76561197980850558,KKKONG--
6215093878205402052,24678,25959,76561197992646865,Lyomis
4234188736517393615,29319,30607,76561198398225818,Skoger
2657283326016395412,30167,31455,76561198004292307,MrDorsi
6622839974068160626,30306,31587,76561197984235105,PieniPippeli
5746397450339485960,30354,31635,76561198013827407,Pipsa_Possu
2891102303138154719,31990,32964,76561197992646865,Lyomis
6138285723593825771,34810,36091,76561198013827407,Pipsa_Possu
3501696989970466632,34903,36191,76561198398225818,Skoger
1955070272754619076,35984,37265,76561197985108819,GAMPLAAJA
2188072976810034408,36601,37882,76561198004277049,ODSMO
7985841820042720315,37350,37973,76561197992646865,Lyomis
5217831488327418720,37612,37973,76561198004292307,MrDorsi
8066364194391034870,39933,40955,76561198398225818,Skoger
4116621634347224537,39999,40955,76561198004292307,MrDorsi
322359164712140462,39890,40955,76561197980401280,Fanaatti
4560219892314917731,42713,43994,76561197984235105,PieniPippeli
2010340625515529562,43616,44904,76561197980850558,KKKONG--
7180977804851683546,45338,46626,76561197980401280,Fanaatti
7856122910061139163,46154,47442,76561197981134839,Keisar1
562199611007590678,50744,52032,76561198398225818,Skoger
6330123946667410441,52002,53290,76561197981134839,Keisar1
2872212522294384071,52937,54225,76561197980850558,KKKONG--
1254619616350406090,55971,57252,76561197984235105,PieniPippeli
3984041520450921992,57027,58315,76561197980401280,Fanaatti
429632925684206306,57106,58397,76561198013827407,Pipsa_Possu
5016738017822808844,59626,60914,76561198004292307,MrDorsi
6378165296006175510,59941,61222,76561198004277049,ODSMO
1934638197984411105,60281,61565,76561197992646865,Lyomis
1886315229975934523,63850,65131,76561198013827407,Pipsa_Possu
4962719600902918460,64341,65629,76561198398225818,Skoger
2887857864360643437,64580,65868,76561198004277049,ODSMO
7502254448159901234,66220,67501,76561197992646865,Lyomis
5430400379069700519,66870,68158,76561197980401280,Fanaatti
3422800928944618538,67001,68289,76561197980850558,KKKONG--
7830334489854377788,67517,68798,76561197985108819,GAMPLAAJA
2495760310653116633,68999,70287,76561197981134839,Keisar1
6023907198019621890,69652,70474,76561198004292307,MrDorsi
6553053874884778392,72328,73616,76561198398225818,Skoger
160738627456800618,76370,77658,76561197984235105,PieniPippeli
4009099321184209078,80017,81298,76561198398225818,Skoger
7765653085709984883,81247,82528,76561197981134839,Keisar1
6798342024495525850,81588,82869,76561198013827407,Pipsa_Possu
3278941915724174971,81599,82880,76561197980401280,Fanaatti
3692567715312499129,84853,86134,76561198004292307,MrDorsi
8133561401263729379,86745,88033,76561197984235105,PieniPippeli
2271794776388879340,87460,88741,76561198398225818,Skoger
5787100332042325725,87592,88873,76561197980401280,Fanaatti
8115031758892130181,88279,89560,76561197981134839,Keisar1
7878275785646072864,92141,93422,76561198004292307,MrDorsi
9068327177807276119,93353,94634,76561197981134839,Keisar1
1215511346736983276,97778,99059,76561197980850558,KKKONG--
4837408768562486434,97817,99098,76561197992646865,Lyomis
8920049587078286673,97856,99137,76561197981134839,Keisar1
5069165350401632016,98193,99481,76561198013827407,Pipsa_Possu
6658513172644812345,99104,100392,76561197984235105,PieniPippeli
