unique_id,start_tick,end_tick,thrower_steamid,thrower_name
5393325169919743664,13195,14477,76561198088303776,WhoEmil
8660663450606603523,13700,14982,76561197989543257,menton89
3254244032527717570,13974,15131,76561198150732605,JEBANJJYYY
5255469414033999344,16701,17983,76561198135202371,Y0daPeek
4252734445179273307,17373,18655,76561199227402828,Sanguis007
6678818445385253763,17489,18771,76561198088303776,WhoEmil
5359145180005485985,18431,19713,76561198150732605,JEBANJJYYY
4033792475609536069,22175,23456,76561198135202371,Y0daPeek
1321237319604563600,22400,23688,76561198398225818,Skoger
8096913840284575622,22423,23711,76561197980401280,Fanaatti
160522225722893529,22488,23776,76561198205670316,Meatsceptre
1817267522787319359,23014,24295,76561198088303776,WhoEmil
8092560820580853302,23086,24367,76561198150732605,JEBANJJYYY
438170201371296622,26011,27292,76561199227402828,Sanguis007
8271489068787888065,26092,27373,76561197989543257,menton89
3808556665540097956,31027,32308,76561199227402828,Sanguis007
203267560918968152,31325,32613,76561198004292307,MrDorsi
7002580104723708305,31876,33157,76561197989543257,menton89
4929694323340022995,37491,38779,76561197981134839,Keisar1
3927170774960952518,37537,38825,76561197980401280,Fanaatti
7015044891372135970,37588,38869,76561198004292307,MrDorsi
836171304066123357,37670,38951,76561199227402828,Sanguis007
400930216136703823,43309,44597,76561197981134839,Keisar1
1141926478853924654,43339,44627,76561197980401280,Fanaatti
2930644858672890373,43380,44668,76561198398225818,Skoger
7041626549083006192,47533,48821,76561198398225818,Skoger
3456529984633201616,47623,48911,76561198205670316,Meatsceptre
4364321056124745479,47669,48957,76561197980401280,Fanaatti
8829401397661414807,50176,51464,76561197981134839,Keisar1
355748749122925729,56199,57487,76561198205670316,Meatsceptre
7956336934567026600,56225,57513,76561197980401280,Fanaatti
527484028541823356,56290,57578,76561198398225818,Skoger
1855282300372557119,57385,58673,76561197981134839,Keisar1
5217157262697175786,62397,63685,76561197980401280,Fanaatti
7369346762278471427,62427,63715,76561198398225818,Skoger
6178397846481544127,62516,63804,76561198205670316,Meatsceptre
6195216580659232542,63589,64870,76561198088303776,WhoEmil
8666672417686305770,65057,66345,76561197981134839,Keisar1
175837555918049802,69641,70929,76561198205670316,Meatsceptre
431420930110799703,69709,70997,76561197981134839,Keisar1
5041984000599999942,69751,71039,76561197980401280,Fanaatti
1394216825649358373,74436,75724,76561198004292307,MrDorsi
7450327307143448657,78204,79492,76561198398225818,Skoger
190036121979519759,78264,79552,76561197981134839,Keisar1
302870943991737235,78553,79841,76561198205670316,Meatsceptre
1710001475544951842,78928,80209,76561199227402828,Sanguis007
5378277347553030307,79187,80468,76561198135202371,Y0daPeek
5470140261032595747,90120,90725,76561198088303776,WhoEmil
1795048963861991673,89643,90725,76561197989543257,menton89
8928362442017917323,92522,93810,76561198150732605,JEBANJJYYY
1437148647521904348,92592,93880,76561198135202371,Y0daPeek
4861779269142895065,92613,93901,76561197989543257,menton89
1352993868172992143,92674,93962,76561199227402828,Sanguis007
2609699941095850140,94301,95582,76561198398225818,Skoger
4457345901631065862,98034,99322,76561198088303776,WhoEmil
7681003568866508227,98309,99590,76561197980401280,Fanaatti
7763564176086146576,100341,101622,76561198004292307,MrDorsi
326771090396022970,100875,102156,76561198205670316,Meatsceptre
5838561763761268403,105387,106675,76561199227402828,Sanguis007
1050017086661250983,105390,106678,76561198150732605,JEBANJJYYY
5668912407115389576,106488,107776,76561198088303776,WhoEmil
8604879941591495803,110034,111322,76561198135202371,Y0daPeek
2524041143924146367,110969,112257,76561198150732605,JEBANJJYYY
4422220353058752067,111068,112356,76561197989543257,menton89
6610868896913751014,111138,112426,76561198088303776,WhoEmil
6116739196425121163,113689,114970,76561198004292307,MrDorsi
3767904220011424520,113707,114988,76561198398225818,Skoger
5608993875318282183,118915,120201,76561198150732605,JEBANJJYYY
3549418860332026399,118942,120230,76561198135202371,Y0daPeek
4687748131869794998,119700,120981,76561197981134839,Keisar1
1949306055936966973,120093,121385,76561197989543257,menton89
759966012781945402,120566,121847,76561197980401280,Fanaatti
3579469678706739487,121477,122758,76561198205670316,Meatsceptre
6215728124781116573,124933,126215,76561198150732605,JEBANJJYYY
2775824913076265956,127928,129209,76561198004292307,MrDorsi
7854998265171918611,128325,129613,76561198135202371,Y0daPeek
