unique_id,start_tick,end_tick,thrower_steamid,thrower_name
1838899155631898046,11827,13115,76561198398225818,Skoger
4841285755555297665,13807,15095,76561197980850558,KKKONG--
3893776274824440622,15804,17092,76561198004292307,MrDorsi
283641224951066499,15982,17270,76561197981134839,Keisar1
7804544455430971239,21010,22298,76561198398225818,Skoger
615521117562324121,21694,22975,76561198004277049,ODSMO
7175962561603057378,22426,23707,76561197985108819,GAMPLAAJA
924954084939749516,23657,24938,76561198013827407,Pipsa_Possu
2764887002647427111,23813,25101,76561197980850558,KKKONG--
2742828995620647256,24678,25959,76561197992646865,Lyomis
2637669847075926289,29319,30607,76561198398225818,Skoger
7444836183836977356,30167,31455,76561198004292307,MrDorsi
8328930800092351812,30306,31587,76561197984235105,PieniPippeli
7152581579729327678,30354,31635,76561198013827407,Pipsa_Possu
8581089305831532922,31990,32964,76561197992646865,Lyomis
6992740185125124325,34810,36091,76561198013827407,Pipsa_Possu
713848069622061980,34903,36191,76561198398225818,Skoger
7399326653857192013,35984,37265,76561197985108819,GAMPLAAJA
8209490986173810216,36601,37882,76561198004277049,ODSMO
4366366897552388168,37350,37973,76561197992646865,Lyomis
5282838489396083294,37612,37973,76561198004292307,MrDorsi
8916943165133925173,39890,40955,76561197980401280,Fanaatti
3607401945461733476,39933,40955,76561198398225818,Skoger
4495908295046654351,39999,40955,76561198004292307,MrDorsi
1895970222900911168,42713,43994,76561197984235105,PieniPippeli
7024817442056303157,43616,44904,76561197980850558,KKKONG--
8957449049724136361,45338,46626,76561197980401280,Fanaatti
2781770159696901596,46154,47442,76561197981134839,Keisar1
4933111819904494423,50744,52032,76561198398225818,Skoger
3094218422706491650,52002,53290,76561197981134839,Keisar1
2750991650117059023,52937,54225,76561197980850558,KKKONG--
8019246300293946843,55971,57252,76561197984235105,PieniPippeli
6069227061813020589,57027,58315,76561197980401280,Fanaatti
4997021266788933176,57106,58397,76561198013827407,Pipsa_Possu
2546621373407376271,59626,60914,76561198004292307,MrDorsi
1646834072738411848,59941,61222,76561198004277049,ODSMO
3386996246105438197,60281,61565,76561197992646865,Lyomis
3473198632301391426,63850,65131,76561198013827407,Pipsa_Possu
120755677355606043,64341,65629,76561198398225818,Skoger
8134211399838057972,64580,65868,76561198004277049,ODSMO
4031233261503128269,66220,67501,76561197992646865,Lyomis
9193666825269570135,66870,68158,76561197980401280,Fanaatti
1705822301238041584,67001,68289,76561197980850558,KKKONG--
8877056123430701543,67517,68798,76561197985108819,GAMPLAAJA
3887956429099181972,68999,70287,76561197981134839,Keisar1
2853445494194931038,69652,70474,76561198004292307,MrDorsi
2391451281242211763,72328,73616,76561198398225818,Skoger
7907288924949151904,76370,77658,76561197984235105,PieniPippeli
6980761560978550541,80017,81298,76561198398225818,Skoger
4807326936676108199,81247,82528,76561197981134839,Keisar1
7763725792639309392,81588,82869,76561198013827407,Pipsa_Possu
5215820854557722022,81599,82880,76561197980401280,Fanaatti
1174112861414465894,84853,86134,76561198004292307,MrDorsi
7032800571553424176,86745,88033,76561197984235105,PieniPippeli
6693064717633256581,87460,88741,76561198398225818,Skoger
8108000349444376889,87592,88873,76561197980401280,Fanaatti
4878839489351277134,88279,89560,76561197981134839,Keisar1
1076888808477434374,92141,93422,76561198004292307,MrDorsi
4312277996235748777,93353,94634,76561197981134839,Keisar1
8434550176748874938,97778,99059,76561197980850558,KKKONG--
4667691917503447186,97817,99098,76561197992646865,Lyomis
7649074238219858315,97856,99137,76561197981134839,Keisar1
8914984271184638040,98193,99481,76561198013827407,Pipsa_Possu
5924039935265245585,99104,100392,76561197984235105,PieniPippeli
